Date/Time	City	State	Shape	Duration	Summary	Posted	Month	Day	Date	Time	Periods	Duration_Sec	US_STATE	Lat	Long
9/27/15 04:38	Cudahy	WI	Sphere	2 minutes	Lighted sphere traveling southwest.	9/29/15	9	27	9/27/15	04:38	3	120.0	1	42.959736646	-87.861468922
9/27/15 04:00	Boise	ID	Unknown	10 minutes	Awoke early and stood on my balcony, and observed rapid incline of a ?star..however, I never learned about THIS KIND of rising. I picke	9/29/15	9	27	9/27/15	04:00	3	600.0	1	43.613497133	-116.203445915
9/27/15 04:00	Bayonne	NJ	Light	3 hours maybe longer	2 lights in sky.  Would fade whenever airplane was approaching.  1 other light made hook shape from northeast and disappeared.	9/29/15	9	27	9/27/15	04:00	3	10800.0	1	40.668706447	-74.114306816
9/27/15 03:50	Midland	MI	Light	present	Light in E dir. at 0350 am, light has slowly moved closer to us (west) and also moved to the S.  ((NUFORC Note:  Venus.  PD))	9/29/15	9	27	9/27/15	03:50	2	877.0	1	43.615575948	-84.247209643
9/27/15 03:00	Spring Valley	AZ	Diamond	1 hour	((HOAX))  Star came down as a drone or ufo came close to the house behind the trees send a light that surrounded the house.	10/29/15	9	27	9/27/15	03:00	2	3600.0	1	34.345026097	-112.159047306
9/27/15 03:00	Elk	WA	Changing	~2 hours	Me and a few buddies stepped out on our porch at about 3 am. for a cigarette on September 27, 2015.  Right away not too far in the dist	9/29/15	9	27	9/27/15	03:00	2	7200.0	1	48.016288938	-117.276596186
9/27/15 01:45	Loomis	CA	Triangle	30 seconds	I was looking out the kitchen window and my eye caught a huge light flying very low. I continued to watch it and when it flew over the	9/29/15	9	27	9/27/15	01:45	1	30.0	1	38.821287383	-121.192999153
9/26/15 23:20	Dearborn Heights	MI	Other	3 minutes	3 or 4 bright orange orbs low in the sky that disappeared behind some trees.	9/29/15	9	26	9/26/15	23:20	12	180.0	1	42.336978408	-83.27325757
9/26/15 23:15	Maryville	IA	Other	10 minutes	Craft spotted very distantly NNE of Lake Mozongo outside of Maryville. The craft consisted of 2 vertical parallel light formations with	9/29/15	9	26	9/26/15	23:15	12	600.0	1	42.687758281	-91.645426141
9/26/15 23:00	Coon Rapids	MN	Fireball	45 minutes	"Ten ""fireball"" flying south to north over the span of 45 minutes."	9/29/15	9	26	9/26/15	23:00	12	2700.0	1	45.119967952	-93.287726407
9/26/15 23:00	Springfield	MA	Fireball	10 minutes	Awesome that really got me baffeled of what I just saw in our sky's.	9/29/15	9	26	9/26/15	23:00	12	600.0	1	42.101478306	-72.589806097
9/26/15 22:00	Campbell	CA	Sphere	3 minutes	Our 7 yr. old spotted a bright round object in the sky last night, from our car.  We got out to see it.  It was round and was a bright.	9/29/15	9	26	9/26/15	22:00	12	180.0	1	37.287166518	-121.949957982
9/26/15 22:00	Overland Park	KS	Cigar	30 minutes	3 units observed in horizontal line with main center unit. Red, green and whits flashing lights.	9/29/15	9	26	9/26/15	22:00	12	1800.0	1	38.982229102	-94.670786677
9/26/15 22:00	St. Cloud	MN	Sphere	3 minutes	Orange sphere of light traveling south to north , no sound , no other lights ...traveling pretty low.	9/29/15	9	26	9/26/15	22:00	12	180.0	1	45.560798333	-94.162489283
9/26/15 22:00	Okemos	MI	Triangle	3-4 minutes	Three Triangle Object passing over Okemos Michigan in procession on a Northwesterly Course with a one minute, then two minute interval.	10/2/15	9	26	9/26/15	22:00	12	240.0	1	42.72225672	-84.427468148
